AP1,AP2,x,y
-45.0,-50.0,4.75,2.8
-45.0,-50.0,3.3205864429473877,6.654324531555176
-46.56319046020508,-49.549232482910156,3.950148820877075,5.716496467590332
-36.0,-39.0,1.0,3.7
-36.0,-39.0,0.6943784356117249,3.465338945388794
-36.93791580200195,-38.72953796386719,0.7649798393249512,3.7919533252716064
-45.0,-50.0,4.75,2.8
-45.0,-50.0,3.3205864429473877,6.654324531555176
-46.56319046020508,-49.549232482910156,3.950148820877075,5.716496467590332
-50.0,-41.0,4.0,1.9
-50.0,-41.0,2.795301914215088,7.094341278076172
-49.18861770629883,-43.813743591308594,3.05241060256958,4.94566011428833
-48.0,-44.0,4.0,4.6
-48.0,-44.0,3.0815234184265137,5.270623683929443
-47.63938522338867,-45.250553131103516,3.1370577812194824,4.777472496032715
