AP1,AP2,AP1_attack,AP2_attack,layers1,layers2,error,error_adv
-45.0,-47.0,-45.92822265625,-46.92361831665039,5,4,2.7773699252873394,3.178957310587213
-48.0,-37.0,-47.57989501953125,-42.105220794677734,5,4,1.8511373006924905,1.4894857087837394
-51.0,-45.0,-50.770851135253906,-47.784664154052734,3,4,2.465903413130611,2.6815718111226423
-45.0,-46.0,-45.464111328125,-45.96180725097656,3,6,2.1018717458031086,1.89977303127494
-44.0,-47.0,-45.392333984375,-46.88542556762695,5,4,1.4382948550019465,2.0852057805044026
-43.0,-39.0,-42.84723663330078,-40.8564453125,4,2,1.272421199049805,1.7072323689681055
-43.0,-45.0,-43.92822265625,-44.92361831665039,3,4,0.5562506979393878,0.737187799352889
-50.0,-38.0,-49.54170608520508,-43.569332122802734,5,2,1.3658032878247344,1.3254062978559331
-48.0,-47.0,-47.96180725097656,-47.464111328125,3,4,3.054207909295907,2.608099210830313
-43.0,-57.0,-49.49755096435547,-56.4653205871582,5,3,0.7360679137712945,2.37408325563349
-43.0,-39.0,-42.84723663330078,-40.8564453125,3,4,2.1726540966922987,2.7155605038362096
-45.0,-47.0,-45.92822265625,-46.92361831665039,6,4,2.5227716087032377,3.033722959528479
-45.0,-40.0,-44.809043884277344,-42.320552825927734,6,3,0.47798429294928174,2.551015341974779
